Date Week Ends On,Avg Temp F,Avg Temp C,Max Avg Temp F,Max Avg Temp C,Match (1/0),Fringe (1/0),
22.03.15,40,4.44,0,0,1,0,
29.03.15,42,5.56,0,0,0,0,
05.04.15,42,5.56,0,0,0,0,
12.04.15,49,9.44,0,0,0,0,
19.04.15,45,7.22,0,0,0,0,
26.04.15,48,8.89,0,0,0,0,
3.05.15,40,4.44,0,0,0,0,
10.05.15,46,7.78,0,0,0,0,
17.05.15,49,9.44,0,0,0,0,
24.05.15,50,10.00,54,12.22,0,0,
31.05.15,49,9.44,53,11.67,0,0,
7.06.15,50,10.00,55,12.78,0,0,
14.06.15,53,11.67,58,14.44,0,0,
21.06.15,54,12.22,58,14.44,0,0,
28.06.15,54,12.22,60,15.56,0,0,
05.07.15,61,16.11,68,20.00,0,0,
12.07.15,57,13.89,62,16.67,0,0,
19.07.15,56,13.33,55,12.78,0,0,
26.07.15,54,12.22,58,14.44,0,0,
2.08.15,53,11.67,56,13.33,0,0,
9.08.15,57,13.89,62,16.67,0,1,
16.08.15,57,13.89,62,16.67,0,1,
23.08.15,58,14.44,64,17.78,0,1,
30.08.15,59,15.00,66,18.89,1,1,
6.09.15,53,11.67,56,13.33,0,1,
13.09.15,55,12.78,0,0.00,0,0,
20.09.15,52,11.11,0,0.00,0,0,
27.09.15,53,11.67,0,0.00,0,0,
4.10.15,49,9.44,0,0.00,0,0,
11.10.15,50,10.00,0,0.00,0,0,
18.10.15,45,7.22,0,0.00,0,0,
25.10.15,50,10.00,0,0.00,0,0,
1.11.15,49,9.44,0,0.00,0,0,
8.11.15,47,8.33,0,0.00,0,0,
15.11.15,48,8.89,0,0.00,0,0,
22.11.15,43,6.11,0,0.00,0,0,
29.11.15,42,5.56,0,0.00,0,0,
06.12.15,43,6.11,0,0.00,0,0,
13.12.15,42,5.56,0,0.00,0,0,
20.12.15,46,7.78,0,0.00,0,0,
27.12.15,45,7.22,0,0.00,0,0,
